ward,10km to less than 30km,30km and over,bicycle,"bus, minibus or coach",household is not deprived in any dimension,less than 10km,"motorcycle, scooter or moped",on foot,other,other method of travel to work,taxi,train,"underground, metro, light rail, tram",work mainly at or from home,works mainly from home,by car or van,household is deprived in at least one dimension,household is not deprived in any dimension.1
Barton & Sandhills,8.4,4.2,12.6,13.6,46.3,52.6,0.6,12.7,11.7,0.8,0.6,0.4,0.1,23.1,23.1,35.5,53.8,46.3
Blackbird Leys,6.5,3.1,8.7,19.2,33.8,62.9,0.9,15.4,14.1,1.3,0.8,0.3,,13.4,13.4,40.0,66.3,33.8
Carfax & Jericho,3.0,5.6,9.5,2.6,57.2,26.2,0.1,14.5,4.4,0.6,0.2,1.1,0.1,60.7,60.8,10.6,42.8,57.2
Churchill,6.0,4.2,9.8,11.9,44.8,58.7,0.4,25.1,9.5,0.9,1.0,0.5,0.1,21.5,21.5,28.7,55.2,44.8
Cowley,6.3,3.4,11.7,13.9,47.7,48.0,0.9,12.5,12.0,0.8,0.6,0.6,,30.3,30.3,28.6,52.3,47.7
Cutteslowe & Sunnymead,5.2,3.3,10.2,5.3,63.0,30.2,0.4,7.0,5.9,0.7,0.3,0.9,0.2,55.4,55.3,19.6,37.0,63.0
Donnington,5.1,4.0,12.4,10.5,47.8,43.7,0.5,11.9,8.6,0.8,0.5,0.6,0.1,38.6,38.6,24.2,52.2,47.8
Headington,5.6,5.0,7.9,5.1,59.7,43.0,0.3,24.5,5.6,0.6,0.2,0.8,0.1,40.8,40.8,19.6,40.3,59.7
Headington Hill & Northway,5.2,4.3,9.8,6.6,52.8,51.0,0.5,24.0,8.6,0.7,1.0,0.6,0.2,31.0,31.0,25.6,47.2,52.8
Hinksey Park,5.5,3.7,10.9,6.8,56.2,32.5,0.3,9.5,6.6,0.9,0.5,0.9,0.1,51.7,51.7,18.5,43.8,56.2
Littlemore,6.9,3.2,9.2,9.2,47.7,46.7,1.2,9.6,12.9,0.8,0.6,0.3,0.1,30.2,30.3,38.8,52.3,47.7
Lye Valley,6.4,3.6,10.2,10.4,48.2,52.4,0.6,14.9,10.8,1.8,0.9,0.7,0.1,26.8,26.8,33.7,51.8,48.2
Marston,4.7,3.3,14.8,5.4,54.2,42.0,0.6,11.4,9.7,1.4,0.5,0.5,0.1,40.2,40.3,25.1,45.8,54.2
Northfield Brook,9.4,2.6,8.4,13.9,40.9,55.8,0.9,9.7,12.6,1.2,0.4,0.3,0.2,19.6,19.6,45.6,59.1,40.9
Osney & St Thomas,4.3,3.4,8.6,4.8,56.4,29.8,0.1,12.3,5.5,0.7,0.2,2.1,0.2,57.1,57.0,13.8,43.6,56.4
Quarry & Risinghurst,5.3,4.4,10.0,7.1,58.5,42.2,0.6,12.6,9.0,0.7,0.6,0.4,0.1,39.1,39.0,28.8,41.5,58.5
Rose Hill & Iffley,6.5,4.1,10.5,11.7,43.5,45.7,0.7,9.6,13.0,1.2,1.1,0.5,0.1,30.7,30.7,33.8,56.5,43.5
St Clement's,4.3,3.7,14.8,7.6,50.1,40.3,0.3,16.3,9.0,0.9,0.6,0.7,0.1,42.7,42.6,15.9,49.9,50.1
St Mary's,5.0,3.9,14.6,6.9,53.5,36.2,0.1,12.6,5.8,0.4,0.4,0.9,0.1,49.1,49.1,15.0,46.5,53.5
Summertown,3.5,3.5,8.8,3.2,66.1,26.1,0.2,9.4,5.1,0.6,0.2,0.9,0.2,61.8,61.8,14.6,33.9,66.1
Temple Cowley,5.1,3.5,11.5,11.2,53.5,46.8,0.7,12.4,9.8,0.8,0.9,0.8,0.2,34.7,34.8,26.8,46.5,53.5
Walton Manor,2.4,4.6,7.6,2.2,68.8,23.1,0.1,9.5,3.3,0.5,0.4,1.5,0.2,66.7,66.6,11.3,31.2,68.8
Wolvercote,6.0,3.6,7.8,7.6,56.1,29.9,0.2,4.4,7.7,1.3,0.2,0.7,0.1,52.8,52.8,24.8,43.9,56.1
